87658, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, CIRCONSCRIPTION 1ER DEGRE IEN AIX VALLEE DE L'ARC (0133000R), REF - Enseignant 1e degré référent, G0000 - Sans spécialité, 0, 0, Non, 2, 0, 0
86204, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86204, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86205, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), RASE - Réseau d'aide à dominante, G0173 - Rased aide à dominante pédagogique, 0, 0, Non, 1, 0, 0
86205, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), RASE - Réseau d'aide à dominante, G0173 - Rased aide à dominante pédagogique, 0, 0, Non, 1, 0, 0
86206, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 2, 0, 0
86206, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 2, 0, 0
86207, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86207, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86208, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), ULEC - Ulis école, G0176 - Ulis ue troubles fonctions cognitives, 0, 0, Non, 1, 0, 0
86208, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), ULEC - Ulis école, G0176 - Ulis ue troubles fonctions cognitives, 0, 0, Non, 1, 0, 0
84367, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI SEXTIUS (APPL) (0130271Z), DCOM - Compensation décharge de directeur, G0191 - Classe d'application, 0, 0, Non, 1, 0, 0
84367, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI SEXTIUS (APPL) (0130271Z), DCOM - Compensation décharge de directeur, G0191 - Classe d'application, 0, 0, Non, 1, 0, 0
84368, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI SEXTIUS (APPL) (0130271Z), DE - Directeur d'école, D0000 - Direction, 5, 0, Non, 1, 0, 0
84368, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI SEXTIUS (APPL) (0130271Z), DE - Directeur d'école, D0000 - Direction, 5, 0, Non, 1, 0, 0
84369, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI SEXTIUS (APPL) (0130271Z), EAPL - Enseignant classe application élémentaire, G0191 - Classe d'application, 0, 0, Non, 4, 0, 0
84369, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI SEXTIUS (APPL) (0130271Z), EAPL - Enseignant classe application élémentaire, G0191 - Classe d'application, 0, 0, Non, 4, 0, 0
84370, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI SEXTIUS (APPL) (0130271Z), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84370, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI SEXTIUS (APPL) (0130271Z), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84371, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI SEXTIUS (APPL) (0130271Z), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84371, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI SEXTIUS (APPL) (0130271Z), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86216, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE APPLICATION ALBERIC LAURENT (APPL) (0131205P), DCOM - Compensation décharge de directeur, G0191 - Classe d'application, 0, 0, Non, 1, 0, 1
86216, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE APPLICATION ALBERIC LAURENT (APPL) (0131205P), DCOM - Compensation décharge de directeur, G0191 - Classe d'application, 0, 0, Non, 1, 0, 1
86217, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE APPLICATION ALBERIC LAURENT (APPL) (0131205P), DE - Directeur d'école, D0000 - Direction, 7, 1, Non, 1, 0, 0
86217, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE APPLICATION ALBERIC LAURENT (APPL) (0131205P), DE - Directeur d'école, D0000 - Direction, 7, 1, Non, 1, 0, 0
86218, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE APPLICATION ALBERIC LAURENT (APPL) (0131205P), EAPL - Enseignant classe application élémentaire, G0191 - Classe d'application, 0, 0, Non, 5, 0, 1
86218, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE APPLICATION ALBERIC LAURENT (APPL) (0131205P), EAPL - Enseignant classe application élémentaire, G0191 - Classe d'application, 0, 0, Non, 5, 0, 1
86219, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE APPLICATION ALBERIC LAURENT (APPL) (0131205P), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86219, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE APPLICATION ALBERIC LAURENT (APPL) (0131205P), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86220, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE APPLICATION ALBERIC LAURENT (APPL) (0131205P), ULEC - Ulis école, G0176 - Ulis ue troubles fonctions cognitives, 0, 0, Non, 1, 0, 0
86220, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE APPLICATION ALBERIC LAURENT (APPL) (0131205P), ULEC - Ulis école, G0176 - Ulis ue troubles fonctions cognitives, 0, 0, Non, 1, 0, 0
87908, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, ECOLE ELEMENTAIRE PUBLIQUE AUGUSTE BOYER (0133390P), DE - Directeur d'école, D0000 - Direction, 6, 0, Non, 1, 0, 0
87908, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, ECOLE ELEMENTAIRE PUBLIQUE AUGUSTE BOYER (0133390P), DE - Directeur d'école, D0000 - Direction, 6, 0, Non, 1, 0, 0
87909, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, ECOLE ELEMENTAIRE PUBLIQUE AUGUSTE BOYER (0133390P), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 5, 0, 0
87909, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, ECOLE ELEMENTAIRE PUBLIQUE AUGUSTE BOYER (0133390P), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 5, 0, 0
87910, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, ECOLE ELEMENTAIRE PUBLIQUE AUGUSTE BOYER (0133390P), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
87910, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, ECOLE ELEMENTAIRE PUBLIQUE AUGUSTE BOYER (0133390P), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86197, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CELONY (0131199H), DE - Directeur d'école, D0000 - Direction, 8, 0, Non, 1, 0, 0
86197, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CELONY (0131199H), DE - Directeur d'école, D0000 - Direction, 8, 0, Non, 1, 0, 0
86198, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CELONY (0131199H), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 7, 0, 3
86198, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CELONY (0131199H), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 7, 0, 3
86199, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CELONY (0131199H), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86199, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CELONY (0131199H), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86200, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CELONY (0131199H), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86200, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CELONY (0131199H), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
87610, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CHATEAU DOUBLE (0132898E), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 6, 0, 0
87610, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CHATEAU DOUBLE (0132898E), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 6, 0, 0
87611, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CHATEAU DOUBLE (0132898E), RASE - Réseau d'aide à dominante, G0173 - Rased aide à dominante pédagogique, 0, 0, Non, 1, 0, 0
87611, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CHATEAU DOUBLE (0132898E), RASE - Réseau d'aide à dominante, G0173 - Rased aide à dominante pédagogique, 0, 0, Non, 1, 0, 0
87612, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CHATEAU DOUBLE (0132898E), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
87612, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CHATEAU DOUBLE (0132898E), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84372, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE PUBLIQUE COUTHERON FONTROUSSE (0130275D), DE - Directeur d'école, D0000 - Direction, 5, 0, Non, 1, 0, 0
84372, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE PUBLIQUE COUTHERON FONTROUSSE (0130275D), DE - Directeur d'école, D0000 - Direction, 5, 0, Non, 1, 0, 0
84373, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE PUBLIQUE COUTHERON FONTROUSSE (0130275D), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 4, 0, 0
84373, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE PUBLIQUE COUTHERON FONTROUSSE (0130275D), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 4, 0, 0
84374, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE PUBLIQUE COUTHERON FONTROUSSE (0130275D), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84374, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE PUBLIQUE COUTHERON FONTROUSSE (0130275D), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84375, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE PUBLIQUE COUTHERON FONTROUSSE (0130275D), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84375, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE PUBLIQUE COUTHERON FONTROUSSE (0130275D), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86456, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CUQUES (DE) (0131567H), DE - Directeur d'école, D0000 - Direction, 7, 1, Non, 1, 0, 0
86456, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CUQUES (DE) (0131567H), DE - Directeur d'école, D0000 - Direction, 7, 1, Non, 1, 0, 0
86457, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CUQUES (DE) (0131567H), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 4, 0, 0
86457, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CUQUES (DE) (0131567H), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 4, 0, 0
86458, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CUQUES (DE) (0131567H), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86458, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CUQUES (DE) (0131567H), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86459, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CUQUES (DE) (0131567H), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 1
86459, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CUQUES (DE) (0131567H), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 1
86460, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CUQUES (DE) (0131567H), ULEC - Ulis école, G0176 - Ulis ue troubles fonctions cognitives, 0, 0, Non, 1, 0, 0
86460, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE CUQUES (DE) (0131567H), ULEC - Ulis école, G0176 - Ulis ue troubles fonctions cognitives, 0, 0, Non, 1, 0, 0
87231, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE DEUX ORMEAUX (LES) (0132535K), DE - Directeur d'école, D0000 - Direction, 8, 1, Non, 1, 0, 0
87231, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE DEUX ORMEAUX (LES) (0132535K), DE - Directeur d'école, D0000 - Direction, 8, 1, Non, 1, 0, 0
87232, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE DEUX ORMEAUX (LES) (0132535K), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 6, 0, 0
87232, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE DEUX ORMEAUX (LES) (0132535K), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 6, 0, 0
87233, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE DEUX ORMEAUX (LES) (0132535K), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
87233, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE DEUX ORMEAUX (LES) (0132535K), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
87234, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE DEUX ORMEAUX (LES) (0132535K), ULEC - Ulis école, G0176 - Ulis ue troubles fonctions cognitives, 0, 0, Non, 1, 0, 1
87234, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE DEUX ORMEAUX (LES) (0132535K), ULEC - Ulis école, G0176 - Ulis ue troubles fonctions cognitives, 0, 0, Non, 1, 0, 1
86221, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, ECOLE ELEMENTAIRE PUBLIQUE EDOUARD PEISSON (0131206R), DE - Directeur d'école, D0000 - Direction, 10, 0, Non, 1, 0, 0
86221, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, ECOLE ELEMENTAIRE PUBLIQUE EDOUARD PEISSON (0131206R), DE - Directeur d'école, D0000 - Direction, 10, 0, Non, 1, 0, 0
86222, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, ECOLE ELEMENTAIRE PUBLIQUE EDOUARD PEISSON (0131206R), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 9, 0, 0
86222, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, ECOLE ELEMENTAIRE PUBLIQUE EDOUARD PEISSON (0131206R), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 9, 0, 0
86223, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, ECOLE ELEMENTAIRE PUBLIQUE EDOUARD PEISSON (0131206R), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86223, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, ECOLE ELEMENTAIRE PUBLIQUE EDOUARD PEISSON (0131206R), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86224, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, ECOLE ELEMENTAIRE PUBLIQUE EDOUARD PEISSON (0131206R), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86224, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, ECOLE ELEMENTAIRE PUBLIQUE EDOUARD PEISSON (0131206R), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
87958, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE EUGENE BREMOND (0133676A), DE - Directeur d'école, D0000 - Direction, 8, 0, Non, 1, 0, 0
87958, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE EUGENE BREMOND (0133676A), DE - Directeur d'école, D0000 - Direction, 8, 0, Non, 1, 0, 0
87959, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE EUGENE BREMOND (0133676A), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 7, 0, 0
87959, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE EUGENE BREMOND (0133676A), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 7, 0, 0
87960, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE EUGENE BREMOND (0133676A), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
87960, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE PUBLIQUE EUGENE BREMOND (0133676A), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86209, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE PUBLIQUE FENOUILLERES (0131203M), DE - Directeur d'école, D0000 - Direction, 5, 0, Non, 1, 0, 0
